id,adresse,cp,ville,pop
26100005, Avenue du Maquis,26100,ROMANS-SUR-ISèRE,R
26100007,56 AVENUE DU MAQUIS,26100,Romans-sur-Isère,R
26110001,34 AVENUE FREDERIC MISTRAL,26110,NYONS,R
26110003,Route d' Orange,26110,NYONS,R
26110004,31 Avenue de Venterol,26110,NYONS,R
26120001,ZONE DES GOUVERNAUX,26120,CHABEUIL,R
26120003,Avenue de Valence,26120,CHABEUIL,R
26120004,Les Champs,26120,Montélier,R
26130002,Rond-Point de l'Europe,26130,Saint-Paul-Trois-Châteaux,R
26140001,AUTOROUTE A 7,26140,SAINT-RAMBERT-D'ALBON,A
